outer_fold,loss_w_mask,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch
1,0.5,295.89607990009245,0.8581420000000001,0.9352514410653945,0.9117296125843135,0.9906041170418867,0.9748786929549782,0.9353233830845771,0.9308510638297872,0.8962765957446808,1.0,0.8706467661691543,"[81, 0, 26, 175]",0.7974404953167897,0.8348135877011428,0.8184900441274992,0.9887098635922296,0.7974404948171283,0.8222795416975421,0.7740581003038485,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192
1,1.0,297.7802622000454,0.9940060000000001,0.9449413635460147,0.9274099883855982,0.9937106766976485,0.9838462010932989,0.9169891284319145,0.9414758269720102,0.903486451497701,0.9635416666666666,0.9203980099502488,"[74, 7, 16, 185]",0.825428105938695,0.86225039923369,0.8402295308824256,0.9914480528641405,0.8254281054394939,0.8620360205539628,0.7918027728775806,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192
1,1.5,290.78053939994425,0.9820180000000001,0.937934804213874,0.9245418179184006,0.9883426997624032,0.9698421472882501,0.9009581721024507,0.9370277078085643,0.8936635545030845,0.9489795918367347,0.9253731343283582,"[71, 10, 15, 186]",0.8352305816783744,0.8906810627647893,0.8473287217102858,0.9874391838317448,0.8352305811784452,0.8204570771691099,0.8505458781337956,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192
1,2.0,288.8417006999953,0.9980020000000001,0.9390777181474856,0.9375915324191186,0.9930939274939727,0.9826177753209262,0.9281370923161968,0.949238578680203,0.9157957599283368,0.9689119170984456,0.9303482587064676,"[75, 6, 14, 187]",0.8352237900167895,0.8750853562236425,0.8484493413532581,0.9950880830110047,0.8352237895203648,0.9135613652174362,0.7692600070205083,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192
1,2.5,287.65135940001346,0.9760240000000001,0.9289902603856093,0.9254621347644604,0.993322061947735,0.9831091456298753,0.9170812603648424,0.95,0.9140243902439025,0.9547738693467337,0.945273631840796,"[72, 9, 11, 190]",0.8367853927010382,0.8840337250363174,0.8490980772641413,0.9910770261431251,0.8367853922013182,0.8603360201404245,0.8144897498328707,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192
1,3.0,287.83137419994455,0.502498,0.9352017491552376,0.9251098389029424,0.9882752970365128,0.9702720963085805,0.9071310116086235,0.9393939393939394,0.8982683982683983,0.9538461538461539,0.9253731343283582,"[72, 9, 15, 186]",0.8528956913870569,0.8747342047999748,0.8622220274412876,0.9922478953399857,0.8528956908873891,0.8782885658412002,0.8289298642179836,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192
2,0.5,309.0950026999926,0.9180820000000001,0.9460966542750929,0.9137438458347358,0.9933088845681997,0.9823720901664517,0.9157914133038512,0.9444444444444444,0.9067460317460317,0.958974358974359,0.9303482587064676,"[73, 8, 14, 187]",0.821866959126114,0.839056650797526,0.8388098467529943,0.9908616498304769,0.8218669586261396,0.83606394704871,0.8081440714654184,0.0003527134719514,1.1666020282617676e-07,0.2079286501910894,256
2,1.0,308.9841709000757,0.9920080000000001,0.9110653404333702,0.88988698927847,0.9923058478126082,0.9802837663534181,0.9241754192002948,0.9226666666666666,0.8846137566137566,0.9942528735632183,0.8606965174129353,"[80, 1, 28, 173]",0.8260210778834302,0.860546909161468,0.8420882152120657,0.9913852657689125,0.8260210773835427,0.8440847050165239,0.808714384593249,0.0003527134719514,1.1666020282617676e-07,0.2079286501910894,256
2,1.5,308.3905313999858,0.592408,0.9469506681402593,0.9376538146021329,0.9693042896901234,0.9508629691050918,0.9035378662244333,0.9481481481481482,0.9080363382250175,0.9411764705882353,0.9552238805970149,"[69, 12, 9, 192]",0.8092083401464423,0.8451026802632347,0.8290883100541357,0.9901676811834481,0.8092083396464658,0.8234877335931261,0.7954157193852014,0.0003527134719514,1.1666020282617676e-07,0.2079286501910894,256
2,2.0,308.425926099997,0.8181820000000001,0.9278609464483071,0.921079958463136,0.9876503807480113,0.9702720963085805,0.9085129906025429,0.9533169533169533,0.9161489225183492,0.941747572815534,0.9651741293532339,"[69, 12, 7, 194]",0.8582404285266751,0.8927854851110658,0.8675274822731105,0.9902416825794583,0.85824042802686,0.8385517792348797,0.8788758609783969,0.0003527134719514,1.1666020282617676e-07,0.2079286501910894,256
