comparison,metric,n_paired,mean_no_aug,mean_aug,delta_aug_minus_noaug,wilcoxon_p,cohens_d_paired,wilcoxon_p_holm,wilcoxon_reject_holm
no_aug vs aug,pr_auc,30,0.5553785308012805,0.5639284218386028,0.008549891037322288,0.015460003167390823,0.5471788303060738,0.07730001583695412,False
no_aug vs aug,roc_auc,30,0.5040757637752319,0.5088885570103655,0.004812793235133617,0.049710121005773544,0.40507428323740596,0.19884048402309418,False
no_aug vs aug,bacc,30,0.500954064375341,0.50200883797054,0.00105477359519901,0.42795460671186447,0.1768634047498289,0.42795460671186447,False
no_aug vs aug,f1_1,30,0.6707522928033917,0.6525778705807438,-0.018174422222647868,0.08793856762349606,-0.3594225627555259,0.26381570287048817,False
no_aug vs aug,f1_macro,30,0.43805384575810563,0.4450283335004167,0.006974487742311075,0.338741784915328,0.12549609304314488,0.677483569830656,False
no_aug vs aug,dice_global,30,0.005715104556916319,0.004208305530659807,-0.0015067990262565122,0.003475155681371689,-0.564624729771629,0.020850934088230133,True
