condition,n_seeds,test_pr_auc_mean,test_pr_auc_std,test_dice_global_mean,test_dice_global_std,test_bacc_mean,test_bacc_std,test_f1_1_mean,test_f1_1_std,test_f1_macro_mean,test_f1_macro_std
no_aug,30,0.9966825849002094,0.0021158300577852453,0.8750241723887341,0.018046875134470126,0.9573345650316865,0.018443637820740974,0.9651041450161878,0.015212843791764885,0.9422885673115038,0.023412198194541694
aug,30,0.9577239185374294,0.04570897249631785,0.77967591010016,0.03958804792423969,0.8302123686353976,0.10074227151604544,0.8592751145092988,0.106050461837619,0.7997680031651181,0.11362904999754961
