comparison,metric,n_paired,mean_no_aug,mean_aug,delta_aug_minus_noaug,wilcoxon_p,cohens_d_paired,wilcoxon_p_holm,wilcoxon_reject_holm
no_aug vs aug,test_pr_auc,30,0.9966825849002094,0.9577239185374294,-0.03895866636278,3.725290298461914e-09,-0.84122858201857,1.4901161193847656e-08,True
no_aug vs aug,test_dice_global,30,0.8750241723887341,0.77967591010016,-0.09534826228857407,1.862645149230957e-09,-2.100107112954378,9.313225746154785e-09,True
no_aug vs aug,test_bacc,30,0.9573345650316865,0.8302123686353976,-0.12712219639628886,5.587935447692871e-09,-1.1985900601308253,5.587935447692871e-09,True
no_aug vs aug,test_f1_1,30,0.9651041450161878,0.8592751145092988,-0.10582903050688897,3.725290298461914e-09,-0.9666692301563193,1.1175870895385742e-08,True
no_aug vs aug,test_f1_macro,30,0.9422885673115038,0.7997680031651181,-0.1425205641463857,3.725290298461914e-09,-1.1881916451360268,7.450580596923828e-09,True
