condition,n_seeds,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_ci95_lo,test_pr_auc_ci95_hi,test_dice_global_mean,test_dice_global_std,test_dice_global_ci95_lo,test_dice_global_ci95_hi,test_bacc_mean,test_bacc_std,test_bacc_ci95_lo,test_bacc_ci95_hi,test_f1_1_mean,test_f1_1_std,test_f1_1_ci95_lo,test_f1_1_ci95_hi,test_f1_macro_mean,test_f1_macro_std,test_f1_macro_ci95_lo,test_f1_macro_ci95_hi
pareto,30,0.9966825849002094,0.0021158300577852453,0.9958925209722952,0.9974726488281237,0.8750241723887341,0.018046875134470126,0.8682853584642157,0.8817629863132525,0.9573345650316865,0.018443637820740974,0.950447597485278,0.964221532578095,0.9651041450161878,0.015212843791764885,0.9594235757868004,0.9707847142455752,0.9422885673115038,0.023412198194541694,0.933546308830665,0.9510308257923425
by_prauc,30,0.9953206073704494,0.0020673129918558244,0.9945486600126906,0.9960925547282081,0.858933828771921,0.022979364907759984,0.8503531928965598,0.8675144646472823,0.9481325863678803,0.014633065261500214,0.9426685099996543,0.9535966627361063,0.956869148513179,0.012218786172577985,0.9523065787726033,0.9614317182537546,0.929351538239123,0.018377528983176423,0.9224892561383551,0.9362138203398909
by_dice,30,0.9947885678276626,0.002706440624107623,0.9937779662898494,0.9957991693654757,0.8565563092736267,0.014700053549360935,0.8510672190676226,0.8620453994796308,0.9463317241790333,0.01702406854430314,0.939974832512,0.9526886158460667,0.9564018538884841,0.012071928530205401,0.9518941216928002,0.960909586084168,0.9283126610671925,0.018423066774888225,0.9214333748755449,0.93519194725884
