variant,metric,mean,std,n_seeds
multitask,det_f1_thr05,0.9686617060051733,0.01371691825569743,30
multitask,det_f1_macro_thr05,0.946030119535974,0.023364083050463634,30
multitask,loc_f1_perimage,0.806865857933946,0.09589757880554443,30
multitask,loc_f1_bonafide_mean,0.7328605200945627,0.1810591386019585,30
multitask,loc_f1_attack_mean,0.8808711957733292,0.01539014596857124,30
