variant,seed,det_f1_thr05,det_precision_thr05,det_recall_thr05,det_f1_macro_thr05,det_n_bonafide,det_n_attack,det_n_total,det_threshold,loc_f1_perimage,loc_f1_bonafide_mean,loc_f1_attack_mean,loc_n_bonafide,loc_n_attack,loc_n_total
multitask,42,0.9518248175182482,0.9939024390243902,0.9131652661064426,0.9228577463797029,141,357,498,0.5,0.6732196500392436,0.48936170212765956,0.8570775979508276,141,357,498
multitask,43,0.9570200573065902,0.9794721407624634,0.9355742296918768,0.9281744581834965,141,357,498,0.5,0.7102876695633381,0.5390070921985816,0.8815682469280947,141,357,498
multitask,44,0.9744318181818182,0.9884726224783862,0.9607843137254902,0.95639399128269,141,357,498,0.5,0.7879302238086281,0.6808510638297872,0.8950093837874691,141,357,498
multitask,45,0.9706293706293706,0.9692737430167597,0.9719887955182073,0.9479481372719807,141,357,498,0.5,0.8592124390709139,0.8297872340425532,0.8886376440992747,141,357,498
multitask,46,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9653733833959115,141,357,498,0.5,0.8778680287562546,0.8581560283687943,0.8975800291437149,141,357,498
multitask,47,0.9846153846153847,0.9832402234636871,0.9859943977591037,0.9727347385710375,141,357,498,0.5,0.8733073900349622,0.8439716312056738,0.9026431488642505,141,357,498
multitask,48,0.9760225669957687,0.9829545454545454,0.969187675070028,0.9583945587592084,141,357,498,0.5,0.7006876139804412,0.5177304964539007,0.8836447315069816,141,357,498
multitask,49,0.93646408839779,0.9237057220708447,0.9495798319327731,0.8836732206694833,141,357,498,0.5,0.5922712400506415,0.3333333333333333,0.8512091467679497,141,357,498
multitask,50,0.961038961038961,0.9910714285714286,0.9327731092436975,0.935965025073936,141,357,498,0.5,0.7018920857255089,0.524822695035461,0.8789614764155569,141,357,498
multitask,51,0.9702127659574468,0.9827586206896551,0.957983193277311,0.9490239087519192,141,357,498,0.5,0.85225564669094,0.8297872340425532,0.8747240593393268,141,357,498
multitask,52,0.933920704845815,0.9814814814814815,0.8907563025210085,0.8955317809943361,141,357,498,0.5,0.7170713883517941,0.574468085106383,0.8596746915972052,141,357,498
multitask,53,0.975609756097561,1.0,0.9523809523809523,0.9593767844032955,141,357,498,0.5,0.7994349693625086,0.7163120567375887,0.8825578819874285,141,357,498
multitask,54,0.9602272727272727,0.9740634005763689,0.9467787114845938,0.9321684308841842,141,357,498,0.5,0.66329229649592,0.46808510638297873,0.8584994866088613,141,357,498
multitask,55,0.9857954545454546,1.0,0.9719887955182073,0.9757744396014945,141,357,498,0.5,0.9204497550722479,0.9361702127659575,0.9047292973785382,141,357,498
multitask,56,0.9873772791023843,0.9887640449438202,0.9859943977591037,0.9777875794805208,141,357,498,0.5,0.9079202824164065,0.950354609929078,0.8654859549037349,141,357,498
multitask,57,0.9656160458452722,0.9882697947214076,0.9439775910364145,0.9425395665467972,141,357,498,0.5,0.8978747003277235,0.9148936170212766,0.8808557836341705,141,357,498
multitask,58,0.9830985915492958,0.9886685552407932,0.9775910364145658,0.9705702747956269,141,357,498,0.5,0.8998479803744287,0.900709219858156,0.8989867408907014,141,357,498
multitask,59,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9653733833959115,141,357,498,0.5,0.8657545332061303,0.8368794326241135,0.8946296337881471,141,357,498
multitask,60,0.9664804469273743,0.9637883008356546,0.969187675070028,0.9403830806065443,141,357,498,0.5,0.8686146031374437,0.851063829787234,0.8861653764876533,141,357,498
multitask,61,0.9636871508379888,0.9610027855153204,0.9663865546218487,0.935415003990423,141,357,498,0.5,0.8335577474798557,0.7872340425531915,0.8798814524065197,141,357,498
multitask,62,0.9749303621169917,0.9695290858725761,0.9803921568627451,0.9550910803390713,141,357,498,0.5,0.8562058682253015,0.8368794326241135,0.8755323038264897,141,357,498
multitask,63,0.9700427960057061,0.9883720930232558,0.9523809523809523,0.94942817766387,141,357,498,0.5,0.6893458387062086,0.5177304964539007,0.8609611809585164,141,357,498
multitask,64,0.9700427960057061,0.9883720930232558,0.9523809523809523,0.94942817766387,141,357,498,0.5,0.8871366659537383,0.900709219858156,0.8735641120493205,141,357,498
multitask,65,0.9640287769784173,0.9911242603550295,0.938375350140056,0.9404861492865508,141,357,498,0.5,0.8473713005232081,0.8085106382978723,0.8862319627485439,141,357,498
multitask,66,0.9915492957746479,0.9971671388101983,0.9859943977591037,0.9852851373978135,141,357,498,0.5,0.9001519067367227,0.8936170212765957,0.9066867921968497,141,357,498
multitask,67,0.9801699716713881,0.9914040114613181,0.969187675070028,0.9659470548012112,141,357,498,0.5,0.906957201349488,0.9219858156028369,0.8919285870961392,141,357,498
multitask,68,0.9547325102880658,0.9354838709677419,0.9747899159663865,0.9155685023350442,141,357,498,0.5,0.6735805324963342,0.475177304964539,0.8719837600281293,141,357,498
multitask,69,0.967741935483871,0.9691011235955056,0.9663865546218487,0.9432349253391086,141,357,498,0.5,0.8762849542600508,0.8581560283687943,0.8944138801513073,141,357,498
multitask,70,0.9665738161559888,0.961218836565097,0.9719887955182073,0.9401214404520951,141,357,498,0.5,0.8637675450362747,0.8439716312056738,0.8835634588668756,141,357,498
multitask,71,0.9551820728291317,0.9551820728291317,0.9551820728291317,0.9208534477620836,141,357,498,0.5,0.7024236807857189,0.5460992907801419,0.858748070791296,141,357,498
