outer_fold,trial_number,val_cls_prauc,val_mask_dice_global,distance_to_ideal,lr,weight_decay,dropout_rate,dec_ch,loss_w_mask
1,8,0.9603202803206654,0.6700200317442846,0.33235712660310673,0.00033295236683119483,7.922282547548326e-07,0.14334351352684863,256,1.1133581324083994
1,35,0.9409557173167624,0.689338290117609,0.3162229044592262,0.0005210428342433791,4.270619197053439e-05,0.10265977291922876,192,2.4587533769729153
2,7,0.9065549876109369,0.6461719142373765,0.3659594029599931,0.0006685595556600023,3.109595768007933e-07,0.13970748842155914,192,1.9201884323031173
2,22,0.9371711107510876,0.567234976269799,0.4373019952943887,0.0008561089166500403,2.2923669275240308e-05,0.1017649199065561,128,0.5713616698644931
2,26,0.8923476680235087,0.6886250454703445,0.3294592340310432,0.0003527134719514876,1.1666020282617675e-07,0.20792865019108947,256,2.696638467420438
2,27,0.9295855520045091,0.6328735896383536,0.37381813181216567,0.0005178242234314091,3.4699228413626403e-07,0.2570649754264387,256,0.9141596092874564
2,33,0.9299072216441054,0.5861098528215776,0.41978333877016216,0.0005717497985569566,7.405458954337406e-05,0.18625194099723835,96,1.0382849581882765
2,36,0.9042887853121246,0.6765884277829343,0.3372768620302064,0.0005483954012743405,3.1463946948343186e-06,0.18500493487049435,256,2.722826389858531
2,46,0.934651298226982,0.5860328097712884,0.41909341131694394,0.0007039817570303293,7.693326496921901e-07,0.21819987724977044,256,0.7043169364312771
3,6,0.9398503629039577,0.550326733270224,0.45367832839382344,0.0005933608907829694,1.587869524708028e-07,0.1551855957572591,128,1.128290632094629
3,18,0.930713076381094,0.6062354106688559,0.399813993746713,0.0002852717568765072,2.7235063106082582e-06,0.22329528638311866,192,0.7872382032836838
3,31,0.930119424324019,0.6387213131831253,0.36797497796036616,0.00042011797833958173,1.9299319289006285e-05,0.22045414429137908,192,1.1479593063092073
3,40,0.8827275358765375,0.6833472731087318,0.33767111260702315,0.0007773952555773754,1.214209038678605e-07,0.25693263140972833,256,2.9127760868585417
3,49,0.9043048673015102,0.6782921613520041,0.3356389308017569,0.0003845232732450585,1.1901176389191731e-06,0.13858614946258452,256,2.4748216721000285
4,1,0.9133886320715593,0.6186614093988821,0.3910506997002853,0.0006993348961849481,2.317457384978403e-06,0.2523803022111375,256,1.3091645672516765
4,7,0.9121000309904345,0.6244112145871921,0.3857373980828808,0.0005600047337960198,1.041415794713785e-07,0.14449686854301688,192,1.5620006405723044
4,12,0.9397815093483896,0.6084957557203877,0.39610836889077267,0.00040652426145050785,3.524180844001269e-06,0.2977205758963271,256,0.5579767701075706
4,22,0.8753158604452708,0.6537828272712934,0.36798432758578487,0.0004896851255704982,1.8871612203906618e-05,0.23378532769347685,256,2.432908883556186
4,26,0.831421419894782,0.658353451767039,0.3809738857058163,0.0001713732181518339,3.2403894974313675e-05,0.18033133340094878,256,2.00525281024367
4,32,0.9602932636469348,0.6062312298560356,0.39576567467695084,0.0006662332047864171,4.622824691457879e-07,0.199400003674354,192,0.6298587347876229
4,33,0.8833878975368767,0.6423745134490785,0.37615737540509997,0.00018600755404911092,2.0924973929065113e-07,0.3178052162546191,192,1.0763957047685646
4,37,0.9290923139967694,0.6106147528620882,0.39578879547428497,0.00024324536670081067,1.2574535950801928e-07,0.2790959756431659,192,0.6835423088400925
4,41,0.8861486282341868,0.6422735018044314,0.37540695566840726,0.0005486670277172405,3.015605068646243e-06,0.2726434590097311,128,2.348947664967311
5,3,0.9243445408160044,0.6329858805781325,0.37473071979669614,0.0005949434629804469,1.2242457470019798e-05,0.2659077112703646,96,1.2336495449497418
5,5,0.8410814805664725,0.69511392720217,0.34381770344912166,0.00024291798609766649,5.970503701846185e-07,0.15239090417594275,256,2.9220673075619508
5,13,0.9388705095944581,0.5907300583841645,0.41380998019316867,0.0005171916495547994,2.4443561643125836e-05,0.18397578000804182,192,0.6485667263566035
5,26,0.9191445764320397,0.6779764354778475,0.33201923984598725,0.0003450802665513508,1.60400189822426e-06,0.26455508021202995,256,1.407597305864786
6,10,0.9089571210135021,0.6330618718363142,0.3780640100755685,0.00042988677350678356,1.1233404548048241e-06,0.2454040020139484,256,1.6166961392845232
6,30,0.9453049438960146,0.6306316067197745,0.37339598165571286,0.00018789115939556118,1.1061430232892564e-06,0.15913667369865664,256,0.5108294028374791
6,33,0.9472954012369751,0.6230775614612947,0.38058941052627243,0.00021596296999255217,3.2495012957677914e-06,0.1123823501974067,192,0.5821826221131126
6,38,0.8996502788225648,0.6980157857438523,0.31822088586435043,0.0008011070649188459,1.1843349498732724e-06,0.2498862889398814,256,2.894903252290406
6,41,0.9051396682111964,0.649625780717562,0.36298839662564947,0.0003970160960753502,4.992324983359867e-06,0.21285200658275577,128,1.785973150557285
7,7,0.864737795906826,0.6983410721849358,0.3305963892523292,0.0002976425250817838,3.116593811257937e-05,0.10305026986558322,192,2.974076780123529
7,26,0.929548506769657,0.6882439610768228,0.3196173347981217,0.0008642032042503412,7.818893705164563e-07,0.12688572349886634,256,2.6702482171286004
7,34,0.9516383515367546,0.6659564878939764,0.33752617235143356,0.0003618677385641557,1.3457373692006059e-05,0.15388927826225654,256,1.0642548398213214
8,1,0.9142169679656412,0.6532573801125177,0.35719626682181727,0.00045045436316787764,8.511930051358026e-07,0.20396236136880921,192,1.8998927593053125
8,3,0.8908543130459072,0.677522658162401,0.3404473776948862,0.0003450768131156361,1.4347494710900565e-07,0.1981171912189044,256,2.285231768585234
8,29,0.9186404518857346,0.646375809266462,0.36286284508241834,0.00032105227726217817,5.681793002040023e-07,0.15745242237864593,192,1.443849276028834
8,34,0.894695570395761,0.6702875501522025,0.346120387262742,0.00029323973286466825,4.951587402977436e-05,0.21735046162133165,256,1.9612879972765993
8,38,0.9314936197083709,0.6316322027650714,0.374683810939804,0.0007662570711304903,9.626882130126964e-07,0.1694165942292346,128,1.482653825141445
9,29,0.9151473519892459,0.6741753162917361,0.33669228739017343,0.0005243813239319305,9.866462115349301e-07,0.32224818502746,256,1.9502204518721693
9,34,0.9403656320213946,0.623378085031135,0.38131394503613775,0.0004521633351877952,7.230588608749514e-07,0.3700230703681092,256,1.1556439607560438
9,43,0.9352869841774318,0.6595538930436755,0.346541954398842,0.00032255750512196504,8.335183626431962e-06,0.26566920427760166,256,0.9783650277053886
10,0,0.8704427691837443,0.6726318984431062,0.35207236468337194,0.0005397563790477569,1.1977162578030667e-07,0.1632311919793882,192,2.901635144510596
10,6,0.8855659311105704,0.6625761903314661,0.35630041180697186,0.00048680284965988953,9.881370274819309e-06,0.31606125171953214,192,1.8194661122744296
10,18,0.9431938329189947,0.6037174181311917,0.4003333927004389,0.0003700066825581987,1.3290932432768658e-05,0.16237846033758097,128,0.7600550703945637
10,23,0.9147130542239769,0.6601740953249516,0.35036482216115444,0.0003197520361263258,1.421349983629805e-07,0.237034578629783,192,1.1403396501230363
10,40,0.9260186461854605,0.6298770435732626,0.3774443582652954,0.00043664624588170373,1.2299052601618764e-06,0.2826696557991485,192,1.012140984852444
10,41,0.876474909997681,0.6680307385418525,0.35420620888565596,0.0005467793064856444,1.7680472952031083e-06,0.30024156163480875,128,2.473756637182003
10,43,0.8620460042428263,0.6811683677562298,0.3473973440666998,0.0003833398520373004,6.944267433142807e-07,0.1172379333631342,128,2.654904591322907
