pos_weight,seed,train_time_sec,thr_cls_from_val_sel,recall_attack,recall_bonafide,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch,hp_loss_w_mask
0.3971915747241725,42,569.7143178000115,0.6703300000000001,0.9551820728291317,0.9858156028368794,0.9984259812968628,0.9959274489937819,0.9704988378330055,0.9742857142857143,0.9567374517374517,0.9941690962099126,0.9551820728291317,"[139, 2, 16, 341]",0.892063576939958,0.8965511268594352,0.8962903031453211,0.9952386399964763,0.892063576440279,0.9166806511159584,0.8687340876049033,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,43,410.3542458000011,0.22877200000000003,0.9663865546218487,0.9290780141843972,0.9968342836915922,0.9913383793233606,0.947732284403123,0.9691011235955056,0.9458181674315556,0.971830985915493,0.9663865546218487,"[131, 10, 12, 345]",0.8744982215791819,0.8750649887640604,0.8811878212293084,0.9942045487623875,0.8744982210794955,0.8985932287579169,0.8516616446010091,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,44,339.58528980001574,0.9520480000000001,0.9131652661064426,0.9858156028368794,0.9968633450699913,0.9914973081431154,0.949490434471661,0.9518248175182482,0.9228577463797029,0.9939024390243902,0.9131652661064426,"[139, 2, 31, 326]",0.87594036650075,0.8844310616244789,0.8824022365416989,0.9942123988599791,0.8759403660010329,0.8989722717054358,0.854059147313769,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,45,426.2729018999962,0.9800200000000001,0.9495798319327731,0.9929078014184397,0.9977111568641505,0.9936825794147446,0.9712438166756063,0.9727403156384505,0.9545975825683892,0.9970588235294118,0.9495798319327731,"[140, 1, 18, 339]",0.8563260354874259,0.8557873440055954,0.8661300684161262,0.9939699793597596,0.856326034988161,0.8917304747320055,0.8236255701721664,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,46,447.3660649000085,0.8761240000000001,0.9663865546218487,1.0,0.9987990662348686,0.9967419591950255,0.9831932773109244,0.9829059829059829,0.9710448281876853,1.0,0.9663865546218487,"[141, 0, 12, 345]",0.8719726364756247,0.8810014457595783,0.8791290486961136,0.9947031360418518,0.8719726359762597,0.9054191768076228,0.8409091228954114,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,47,565.6263860000181,0.9260740000000001,0.9551820728291317,0.9787234042553191,0.9962583673643939,0.9902258775850766,0.9669527385422254,0.9728958630527818,0.9542445416958825,0.9912790697674418,0.9551820728291317,"[138, 3, 16, 341]",0.8815596331262233,0.8867063175062505,0.8871483986637226,0.9941012669378585,0.8815596326263566,0.8984321286854176,0.8653091842579699,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,48,397.7153876000084,0.548452,0.9551820728291317,0.9574468085106383,0.9959308401798224,0.9882392673381409,0.956314440669885,0.96875,0.9467037671232876,0.9827089337175793,0.9551820728291317,"[135, 6, 16, 341]",0.8747455113084995,0.8840469445834974,0.8812751813285145,0.9931660869334235,0.8747455108085116,0.8842143026092252,0.8654773683343859,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,49,441.9226256000111,0.8301700000000001,0.9663865546218487,0.9787234042553191,0.998727326238059,0.9965631642728013,0.9725549794385839,0.9787234042553191,0.9635885062513709,0.9913793103448276,0.9663865546218487,"[138, 3, 12, 345]",0.8876924609160585,0.8888252656332919,0.8924818787808042,0.9949013403977988,0.8876924604163448,0.911003962522682,0.8655442197455137,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,50,452.7977610999951,0.9960040000000001,0.9047619047619048,0.9858156028368794,0.997412796627741,0.9933249895702962,0.9452887537993921,0.9472140762463344,0.916282197358836,0.9938461538461538,0.9047619047619048,"[139, 2, 34, 323]",0.8828313540146222,0.8920669876226858,0.8882387335843087,0.9941618187717135,0.8828313535147517,0.8995203360568813,0.866750359942071,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,51,445.5591563000344,0.9300700000000001,0.9159663865546218,1.0,0.9977890776470162,0.9939607048493155,0.9579831932773109,0.956140350877193,0.9299932523616734,1.0,0.9159663865546218,"[141, 0, 30, 327]",0.874120837450417,0.871050440630659,0.8809861689292976,0.995196207036522,0.8741208369512863,0.9132099714734956,0.8382406960428181,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,52,346.8153540000203,0.9780220000000001,0.9355742296918768,0.9929078014184397,0.9971243762844056,0.9919939607048492,0.9642410155551582,0.9653179190751445,0.943185275327046,0.9970149253731343,0.9355742296918768,"[140, 1, 23, 334]",0.8705180873367615,0.8810199769605108,0.8778269083111827,0.9939701915245593,0.8705180868370733,0.894494564801773,0.8477934108434391,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,53,439.06660479999846,0.8801200000000001,0.9663865546218487,0.9929078014184397,0.9987393690733095,0.9965432981703319,0.9796471780201442,0.9815078236130867,0.9685696114652464,0.9971098265895953,0.9663865546218487,"[140, 1, 12, 345]",0.8876063566643052,0.8964735773765072,0.8924774239266279,0.995561851852449,0.8876063561649163,0.9208804575668192,0.8566529820655251,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,54,399.20014410000294,0.8721280000000001,0.9635854341736695,0.9716312056737588,0.9985890284536814,0.9963247710431691,0.9676083199237142,0.975886524822695,0.9587336404182203,0.9885057471264368,0.9635854341736695,"[137, 4, 13, 344]",0.8986737712646209,0.9116853131633513,0.9021224999515973,0.9959603397793808,0.8986737707651011,0.928552451855965,0.8706580008472531,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
0.3971915747241725,55,582.5268251000089,0.9940060000000001,0.9607843137254902,0.9858156028368794,0.9988805253996595,0.9970796829370046,0.9732999582811848,0.9772079772079773,0.9613931042502472,0.9942028985507246,0.9607843137254902,"[139, 2, 14, 343]",0.8962787009323041,0.9016204588219565,0.8999809236315065,0.9954817384240552,0.8962787004326247,0.9209457407735996,0.872898578668629,0.0005210428342433,4.270619197053439e-05,0.1026597729192287,192,2.4587533769729157
