comparison,metric,n_paired,mean_base,mean_pw,delta,wilcoxon_p,cohens_d_paired,wilcoxon_p_holm,wilcoxon_reject_holm
pos_weight=0.397 vs baseline(1.0),test_pr_auc,30,0.9966825849002094,0.9972751191823221,0.0005925342821127,0.3817984350025654,0.23528612634460766,1.0,False
pos_weight=0.397 vs baseline(1.0),test_dice_global,30,0.8750241723887341,0.8793415850356361,0.004317412646901997,0.5027610473334789,0.2050710793022149,0.5027610473334789,False
pos_weight=0.397 vs baseline(1.0),test_bacc,30,0.9573345650316865,0.9614031428174105,0.0040685777857240035,0.49728161112804525,0.19618931210083235,0.9945632222560905,False
pos_weight=0.397 vs baseline(1.0),recall_bonafide,30,0.9711583924349884,0.9796690307328606,0.008510638297872242,0.26271494540907125,0.2390457218601647,1.0,False
pos_weight=2.518 vs baseline(1.0),test_pr_auc,30,0.9966825849002094,0.9966615046272083,-2.108027300118387e-05,0.9838335812091827,-0.00947422687822542,0.9838335812091827,False
pos_weight=2.518 vs baseline(1.0),test_dice_global,30,0.8750241723887341,0.8688370260613578,-0.0061871463273762695,0.17059839516878128,-0.2567917424246998,0.6823935806751251,False
pos_weight=2.518 vs baseline(1.0),test_bacc,30,0.9573345650316865,0.9552069054572183,-0.0021276595744681437,0.4779241601846663,-0.1120893780654206,1.0,False
pos_weight=2.518 vs baseline(1.0),recall_bonafide,30,0.9711583924349884,0.966903073286052,-0.004255319148936398,0.5154206150645422,-0.13590929908743501,1.0,False
