comparison,metric,n_paired,mean_docverify,mean_resnet18,delta_dv_minus_rn,wilcoxon_p,cohens_d_paired,wilcoxon_p_holm,wilcoxon_reject_holm
DocVerify vs ResNet18-MOTPE,test_pr_auc,30,0.9966825849002094,0.9942413634171418,0.0024412214830676904,5.5925920605659485e-05,0.7503729837157983,0.0002796296030282974,True
DocVerify vs ResNet18-MOTPE,test_dice_global,30,0.8750241723887341,0.8893813862872222,-0.014357213898488097,0.004031794145703316,-0.6029425350617029,0.008063588291406631,True
DocVerify vs ResNet18-MOTPE,test_bacc,30,0.9573345650316865,0.9628742277052663,-0.005539662673579859,0.28480753346038135,-0.21426912255757585,0.28480753346038135,False
DocVerify vs ResNet18-MOTPE,test_f1_1,30,0.9651041450161878,0.9778745737544086,-0.012770428738220763,0.0009517744183540344,-0.6699997775931668,0.0038070976734161377,True
DocVerify vs ResNet18-MOTPE,test_f1_macro,30,0.9422885673115038,0.9612893262941286,-0.019000758982624766,0.001340603455901146,-0.6281702965640048,0.004021810367703438,True
