trial_number,val_cls_prauc,val_mask_dice_global,distance_to_ideal,lr,weight_decay,dropout_rate,dec_ch,loss_w_mask
1,0.9919847520859767,0.7920791991195698,0.2080752355228338,0.0002841405069557113,1.3311216080736884e-05,0.10617534828874074,96,0.9585112746335845
10,0.9913120463897928,0.8293929768255779,0.17082809164294646,0.0006058986765773628,7.411299781083234e-06,0.19926940745579477,256,2.093893678388033
22,0.9901781552393363,0.8363903770933826,0.16390417121644013,0.00036837075967684,1.4461256820152131e-06,0.38101899662102046,256,2.6933483834524523
