model,n_seeds,test_pr_auc_mean,test_pr_auc_std,test_dice_global_mean,test_dice_global_std,test_bacc_mean,test_bacc_std,test_f1_1_mean,test_f1_1_std,test_f1_macro_mean,test_f1_macro_std
DocVerify,30,0.9966825849002094,0.0021158300577852453,0.8750241723887341,0.018046875134470126,0.9573345650316865,0.018443637820740974,0.9651041450161878,0.015212843791764885,0.9422885673115038,0.023412198194541694
ResNet18-MOTPE,30,0.9942413634171418,0.002516882522051528,0.8893813862872222,0.011132732900311857,0.9628742277052663,0.01077361372741662,0.9778745737544086,0.006914797738635431,0.9612893262941286,0.011395129939787132
