Method,Training,PR-AUC,ROC-AUC,F1-macro,Dice (global),Dice (pos),Test set,Note
TruFor (zero-shot),NIST16 + others,0.7910,0.6105,0.5896,0.0561,0.1097,FantasyID holdout (N=493),Pre-trained weights from authors
DocVerify (ours),FantasyID,0.9967 +/- 0.0021,0.9911 +/- 0.0057,0.9423 +/- 0.0234,0.8750 +/- 0.0180,0.8809 +/- 0.0154,FantasyID holdout (N=493),Mean +/- std over 30 seeds
